Localidade;Ano;IDM Infraestrutura;Cobertura da rede de água tratada;Cobertura da rede de energia elétrica;Cobertura da rede de esgoto;Cobertura da rede de telefonia fixa e internet
Mozarlândia;2016;2,6325;4,03;4,04;0;2,46
Mozarlândia;2018;2,78;3,84;4,54;0;2,74
Mundo Novo;2012;1,6975;4,09;2,24;0;0,46
Mundo Novo;2014;1,865;4,34;2,46;0;0,66
Mundo Novo;2016;1,985;4,56;2,65;0;0,73
Mundo Novo;2018;2,63;4,75;3,53;0;2,24
Mutunópolis;2012;2,3325;5,03;2,87;0;1,43
Mutunópolis;2014;2,555;5,44;3,14;0;1,64
Mutunópolis;2016;2,59;5,23;3,3;0;1,83
Mutunópolis;2018;2,6325;5,36;3,85;0;1,32
Nazário;2012;3,7425;7,86;4,23;0;2,88
Nazário;2014;3,92;8,02;4,31;0;3,35
Nazário;2016;3,955;7,69;4,54;0;3,59
Nazário;2018;3,6975;7,57;4,12;0;3,1
Nerópolis;2012;2,995;5,33;3,56;0;3,09
Nerópolis;2014;3,225;6,01;4,14;0;2,75
Nerópolis;2016;3,045;5,56;4,32;0;2,3
Nerópolis;2018;3,37;5,35;5,17;0;2,96
Niquelândia;2012;2,58;4,94;3,32;0,01;2,05
Niquelândia;2014;3,025;5,02;3,6;1,86;1,62
Niquelândia;2016;2,9425;4,64;3,67;2,03;1,43
Niquelândia;2018;2,985;4,42;3,61;2,48;1,43
Nova América;2012;2,4975;5,75;2,98;0;1,26
Nova América;2014;2,5075;5,61;3,03;0;1,39
Nova América;2016;2,3925;5,22;3,1;0;1,25
Nova América;2018;2,3775;5,12;3,39;0;1
Nova Aurora;2012;4,0875;8,24;4,32;0;3,79
Nova Aurora;2014;3,9875;7,98;4,25;0;3,72
Nova Aurora;2016;3,8475;7,37;4,35;0;3,67
Nova Aurora;2018;4,61;7,13;5,04;0;6,27
Nova Crixás;2012;2,5225;4,79;3,8;0;1,5
Nova Crixás;2014;2,765;4,97;4,05;0;2,04
Nova Crixás;2016;2,8375;5,04;4,3;0;2,01
Nova Crixás;2018;2,7475;5,17;3,35;0;2,47
Nova Glória;2012;2,585;4,51;4,07;0;1,76
Nova Glória;2014;2,7225;4,68;4,12;0;2,09
Nova Glória;2016;2,9;4,83;4,47;0;2,3
Nova Glória;2018;3,2125;5,1;5,15;0;2,6
Nova Iguaçu de Goiás;2012;2,57;5,76;2,98;0;1,54
Nova Iguaçu de Goiás;2014;2,5475;5,81;3,03;0;1,35
Nova Iguaçu de Goiás;2016;2,5575;6,22;3,12;0;0,89
Nova Iguaçu de Goiás;2018;2,815;6,51;3,93;0;0,82
Nova Roma;2012;2,245;5,21;2,68;0,03;1,06
Nova Roma;2014;2,1125;4,96;2,62;0,02;0,85
Nova Roma;2016;1,935;4,45;2,57;0,02;0,7
Nova Roma;2018;2,01;4,24;3,11;0,02;0,67
Nova Veneza;2012;2,79;5,12;3,23;0;2,81
