Localidade;Ano;Taxa de Reprovação
Córrego do Ouro;2016;12,5
Córrego do Ouro;2017;2,7
Córrego do Ouro;2018;9,7
Corumbá de Goiás;2013;1,5
Corumbá de Goiás;2014;1,6
Corumbá de Goiás;2015;1,7
Corumbá de Goiás;2016;3,4
Corumbá de Goiás;2017;3,7
Corumbá de Goiás;2018;3,1
Corumbaíba;2013;12
Corumbaíba;2014;12,3
Corumbaíba;2015;10,7
Corumbaíba;2016;7,2
Corumbaíba;2017;5,3
Corumbaíba;2018;5,4
Cristalina;2013;4,1
Cristalina;2014;5,1
Cristalina;2015;4,5
Cristalina;2016;2,6
Cristalina;2017;1,6
Cristalina;2018;2,6
Cristianópolis;2013;3,4
Cristianópolis;2014;8,4
Cristianópolis;2015;5,9
Cristianópolis;2016;2,6
Cristianópolis;2017;3,8
Cristianópolis;2018;2,4
Crixás;2013;4,5
Crixás;2014;6,5
Crixás;2015;3,5
Crixás;2016;5,1
Crixás;2017;2,3
Crixás;2018;1,5
Cromínia;2013;3,9
Cromínia;2014;6,3
Cromínia;2015;8
Cromínia;2016;10,2
Cromínia;2017;1,4
Cromínia;2018;11,7
Cumari;2013;0
Cumari;2014;0
Cumari;2015;0
Cumari;2016;4,8
Cumari;2017;3,1
Cumari;2018;0
Damianópolis;2013;0
Damianópolis;2014;3,3
Damianópolis;2015;0,7
Damianópolis;2016;0,6
Damianópolis;2017;0
Damianópolis;2018;0,6
Damolândia;2013;2,4
Damolândia;2014;2,4
Damolândia;2015;1,6
Damolândia;2016;0
Damolândia;2017;0
Damolândia;2018;7,1
Davinópolis;2013;8,1
Davinópolis;2014;4,3
Davinópolis;2015;14,3
Davinópolis;2016;1,6
Davinópolis;2017;0
Davinópolis;2018;19,6
Diorama;2013;0
Diorama;2014;0
Diorama;2015;0
Diorama;2016;1,1
Diorama;2017;0
Diorama;2018;1,9
Divinópolis de Goiás;2013;2,4
Divinópolis de Goiás;2014;4,7
Divinópolis de Goiás;2015;4,3
Divinópolis de Goiás;2016;5,1
Divinópolis de Goiás;2017;1,7
Divinópolis de Goiás;2018;3,3
Doverlândia;2013;2,9
Doverlândia;2014;1,7
Doverlândia;2015;1,5
Doverlândia;2016;9,3
Doverlândia;2017;1,4
Doverlândia;2018;0
Edealina;2013;3,5
Edealina;2014;0,7
Edealina;2015;4
Edealina;2016;0,7
Edealina;2017;0
Edealina;2018;2,7
Edéia;2013;7,7
Edéia;2014;5,8
Edéia;2015;4,3
Edéia;2016;4,2
Edéia;2017;3,7
Edéia;2018;7
Estrela do Norte;2013;4,9
Estrela do Norte;2014;9,2
Estrela do Norte;2015;6
Estrela do Norte;2016;6,3
Estrela do Norte;2017;2,9
Estrela do Norte;2018;2,8
Faina;2013;3,6
Faina;2014;6,4
Faina;2015;7,7
Faina;2016;5,8
Faina;2017;1,2
Faina;2018;3,6
Fazenda Nova;2013;6,4
Fazenda Nova;2014;3,8
Fazenda Nova;2015;9,7
Fazenda Nova;2016;4
Fazenda Nova;2017;3,5
Fazenda Nova;2018;6,1
Firminópolis;2013;8,1
Firminópolis;2014;6,5
Firminópolis;2015;5,7
Firminópolis;2016;5,9
Firminópolis;2017;5,5
Firminópolis;2018;5,1
Flores de Goiás;2013;1,2
Flores de Goiás;2014;2,9
Flores de Goiás;2015;11,5
Flores de Goiás;2016;4,7
Flores de Goiás;2017;7,1
Flores de Goiás;2018;7,2
Formosa;2013;9,4
Formosa;2014;9,8
Formosa;2015;4,4
Formosa;2016;8
Formosa;2017;6,5
Formosa;2018;6,7
Formoso;2013;2,6
Formoso;2014;2,9
Formoso;2015;0,8
Formoso;2016;3,2
Formoso;2017;1,7
Formoso;2018;1,6
Gameleira de Goiás;2013;0
Gameleira de Goiás;2014;1,4
Gameleira de Goiás;2015;14,4
Gameleira de Goiás;2016;0,8
Gameleira de Goiás;2017;0
Gameleira de Goiás;2018;1,3
Goianápolis;2013;9,1
Goianápolis;2014;5,3
Goianápolis;2015;10,7
Goianápolis;2016;14
Goianápolis;2017;2,3
Goianápolis;2018;4,3
Goiandira;2013;2,3
Goiandira;2014;10,6
Goiandira;2015;13,9
Goiandira;2016;7
Goiandira;2017;0,6
Goiandira;2018;1,2
Goianésia;2013;7,4
Goianésia;2014;6,6
Goianésia;2015;11,1
Goianésia;2016;7
Goianésia;2017;6,7
Goianésia;2018;5,5
Goiânia;2013;8,6
Goiânia;2014;9,7
Goiânia;2015;7,1
Goiânia;2016;7,5
Goiânia;2017;3,7
Goiânia;2018;5,3
Goianira;2013;7,1
Goianira;2014;10,7
Goianira;2015;6,7
Goianira;2016;8,3
Goianira;2017;5,9
Goianira;2018;8,2
Goiás;2013;13,1
Goiás;2014;18,6
Goiás;2015;14,2
Goiás;2016;11,5
Goiás;2017;5,8
Goiás;2018;9
Goiatuba;2013;6,2
Goiatuba;2014;7,4
Goiatuba;2015;7,7
Goiatuba;2016;9,8
Goiatuba;2017;12,5
Goiatuba;2018;10,5
Gouvelândia;2013;3,3
Gouvelândia;2014;0,7
Gouvelândia;2015;0,7
Gouvelândia;2016;1,6
Gouvelândia;2017;0,7
Gouvelândia;2018;0
Guapó;2013;4,8
Guapó;2014;8,5
Guapó;2015;8,8
Guapó;2016;11,8
Guapó;2017;2,7
Guapó;2018;1,7
Guaraíta;2013;0
Guaraíta;2014;4,5
Guaraíta;2015;2,9
Guaraíta;2016;1,4
Guaraíta;2017;0
Guaraíta;2018;0
Guarani de Goiás;2013;0,6
Guarani de Goiás;2014;6,1
Guarani de Goiás;2015;0,5
Guarani de Goiás;2016;3,3
Guarani de Goiás;2017;0,7
Guarani de Goiás;2018;0
Guarinos;2013;3,8
Guarinos;2014;2,5
Guarinos;2015;0
Guarinos;2016;1,5
Guarinos;2017;5,7
Guarinos;2018;0
Heitoraí;2013;0,8
Heitoraí;2014;4,5
Heitoraí;2015;1,8
Heitoraí;2016;2,5
Heitoraí;2017;1,5
Heitoraí;2018;0
Hidrolândia;2013;14,4
Hidrolândia;2014;20,3
Hidrolândia;2015;15,1
Hidrolândia;2016;12,1
Hidrolândia;2017;9,7
Hidrolândia;2018;10,6
Hidrolina;2013;2,5
Hidrolina;2014;7,1
Hidrolina;2015;10,2
Hidrolina;2016;2,8
Hidrolina;2017;11,1
Hidrolina;2018;6,5
Iaciara;2013;2,9
Iaciara;2014;3
Iaciara;2015;2
