Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Iaciara;2012;2,4675;0,9;3,12;2,37;3,48
Iaciara;2014;2,1525;0,91;0,5;2,29;4,91
Iaciara;2016;2,92;1,06;6,34;2,12;2,16
Iaciara;2018;3,165;1,07;6,17;2,12;3,3
Inaciolândia;2012;3,2625;1,87;1,9;4,56;4,72
Inaciolândia;2014;2,4525;1,33;0,32;4,68;3,48
Inaciolândia;2016;2,9875;1,64;4,96;3,14;2,21
Inaciolândia;2018;2,6425;1,43;4,29;1,86;2,99
Indiara;2012;2,6325;1,48;2,27;2,53;4,25
Indiara;2014;3,35;2,04;0,38;4,68;6,3
Indiara;2016;3,06;2,2;5,97;2,22;1,85
Indiara;2018;3,73;2,46;6,4;2,45;3,61
Inhumas;2012;2,195;1,98;1,83;1,76;3,21
Inhumas;2014;2,285;2;0,39;1,93;4,82
Inhumas;2016;2,835;2,48;5,1;1,52;2,24
Inhumas;2018;2,91;2,66;3,96;1,54;3,48
Ipameri;2012;2,3525;1,94;1,63;2,65;3,19
Ipameri;2014;2,5175;1,94;0,32;3;4,81
Ipameri;2016;2,715;2,42;3,98;2,2;2,26
Ipameri;2018;2,6825;2,52;2,52;2,27;3,42
Ipiranga de Goiás;2012;2,2325;0,88;3,96;1,12;2,97
Ipiranga de Goiás;2014;2,435;1,31;0,66;1,45;6,32
Ipiranga de Goiás;2016;3,195;1,57;8,17;0,85;2,19
Ipiranga de Goiás;2018;3,4125;1,52;7,64;1,35;3,14
Iporá;2012;2,3275;1;3,41;1,79;3,11
Iporá;2014;2,46;1,24;0,64;2,34;5,62
Iporá;2016;3,5;1,7;8,18;1,61;2,51
Iporá;2018;3,8325;1,97;7,6;2,16;3,6
Israelândia;2012;1,375;0,71;1,72;1,09;1,98
Israelândia;2014;2,58;1,42;0,41;0,94;7,55
Israelândia;2016;2,31;1,78;4,27;0,94;2,25
Israelândia;2018;2,325;1,37;3,87;1,45;2,61
Itaberaí;2012;2,45;2,18;2,11;1,88;3,63
Itaberaí;2014;2,395;2,17;0,39;2,15;4,87
Itaberaí;2016;3,02;3,07;5,19;1,06;2,76
Itaberaí;2018;2,9425;3,13;3,95;1,25;3,44
Itaguari;2012;2,3075;0,84;3,19;1,1;4,1
Itaguari;2014;2,0775;0,92;0,57;1,71;5,11
Itaguari;2016;3,19;1,4;7,75;0,78;2,83
Itaguari;2018;3,1125;1,37;6,97;0,92;3,19
Itaguaru;2012;1,7675;0,78;3,01;0,39;2,89
Itaguaru;2014;2,1325;1,17;0,61;0,47;6,28
Itaguaru;2016;2,6225;0,98;7,58;0,79;1,14
Itaguaru;2018;3,105;0,93;7,41;1;3,08
Itajá;2012;1,81;1,64;1,66;1,47;2,47
Itajá;2014;2,145;1,75;0,38;1,53;4,92
Itajá;2016;2,5225;2,23;4,59;1,03;2,24
Itajá;2018;2,4625;2,36;2,88;1,25;3,36
Itapaci;2012;2,8475;1,73;2,76;2,79;4,11
