Localidade;Ano;IDHM – Geral;IDHM - Educação;IDHM - Longevidade;IDHM - Renda
Damolândia;2010;0,697;0,6;0,819;0,688
Davinópolis;1991;0,437;0,213;0,71;0,553
Davinópolis;2000;0,587;0,449;0,784;0,576
Davinópolis;2010;0,716;0,606;0,862;0,702
Diorama;1991;0,414;0,216;0,647;0,507
Diorama;2000;0,558;0,377;0,765;0,602
Diorama;2010;0,729;0,696;0,841;0,663
Divinópolis de Goiás;1991;0,374;0,16;0,663;0,495
Divinópolis de Goiás;2000;0,521;0,365;0,761;0,509
Divinópolis de Goiás;2010;0,653;0,55;0,813;0,624
Doverlândia;1991;0,331;0,099;0,679;0,541
Doverlândia;2000;0,504;0,272;0,776;0,608
Doverlândia;2010;0,668;0,518;0,84;0,684
Edealina;1991;0,415;0,18;0,702;0,564
Edealina;2000;0,6;0,425;0,785;0,649
Edealina;2010;0,702;0,594;0,808;0,722
Edéia;1991;0,465;0,236;0,687;0,621
Edéia;2000;0,589;0,397;0,762;0,676
Edéia;2010;0,739;0,648;0,826;0,755
Estrela do Norte;1991;0,431;0,229;0,71;0,492
Estrela do Norte;2000;0,55;0,344;0,795;0,607
Estrela do Norte;2010;0,707;0,593;0,848;0,703
Faina;1991;0,347;0,122;0,639;0,537
Faina;2000;0,504;0,283;0,757;0,597
Faina;2010;0,65;0,534;0,799;0,644
Fazenda Nova;1991;0,434;0,22;0,662;0,562
Fazenda Nova;2000;0,573;0,43;0,738;0,593
Fazenda Nova;2010;0,685;0,576;0,831;0,671
Firminópolis;1991;0,499;0,32;0,653;0,595
Firminópolis;2000;0,61;0,505;0,726;0,619
Firminópolis;2010;0,732;0,688;0,838;0,681
Flores de Goiás;1991;0,231;0,044;0,6;0,465
Flores de Goiás;2000;0,447;0,236;0,697;0,543
Flores de Goiás;2010;0,597;0,457;0,799;0,583
Formosa;1991;0,482;0,259;0,684;0,631
Formosa;2000;0,598;0,422;0,776;0,653
Formosa;2010;0,744;0,666;0,852;0,726
Formoso;1991;0,467;0,273;0,652;0,572
Formoso;2000;0,576;0,43;0,741;0,6
Formoso;2010;0,715;0,639;0,834;0,686
Gameleira de Goiás;1991;0,233;0,04;0,678;0,464
Gameleira de Goiás;2000;0,446;0,168;0,791;0,666
Gameleira de Goiás;2010;0,659;0,499;0,828;0,692
Goianápolis;1991;0,4;0,178;0,635;0,565
Goianápolis;2000;0,507;0,324;0,708;0,568
Goianápolis;2010;0,703;0,62;0,825;0,678
Goiandira;1991;0,521;0,356;0,681;0,584
Goiandira;2000;0,639;0,512;0,789;0,645
Goiandira;2010;0,76;0,727;0,849;0,711
Goianésia;1991;0,448;0,229;0,67;0,585
Goianésia;2000;0,571;0,396;0,749;0,629
Goianésia;2010;0,727;0,636;0,84;0,719
Goiânia;1991;0,6;0,42;0,718;0,717
