Localidade;Ano;AnosIniciaisRedeMunicipal;AnosIniciaisRedeEstadual;AnosIniciaisRedeFederal;AnosIniciaisRedePública;AnosFinaisRedeMunicipal;AnosFinaisRedeEstadual;AnosFinaisRedeFederal;AnosFinaisRedePública
Jataí;2017;5,8;    ;    ;5,8;4,8;5,6;    ;5,5
Jaupaci;2005;5,1;;;5,1;;4,1;;4,1
Jaupaci;2007;4,4;4,3;;4,4;;3,9;;3,9
Jaupaci;2009;4,9;;;4,9;;3,9;;3,9
Jaupaci;2011;5,3;;;5,3;;4;;4
Jaupaci;2013;5,6;;;5,6;;5;;5
Jaupaci;2015;6,1;;;6,1;;5,8;;5,8
Jaupaci;2017;6;    ;    ;6;    ;5,9;    ;5,9
Jesúpolis;2005;;3,2;;3,4;;3,2;;3,2
Jesúpolis;2007;;3,3;;3,4;;3,7;;3,7
Jesúpolis;2009;5,3;4,3;;5;;3,3;;3,3
Jesúpolis;2011;6;;;6;;4;;4
Jesúpolis;2013;6;;;6;;5,4;;5,4
Jesúpolis;2015;6,8;;;6,8;;5,3;;5,3
Jesúpolis;2017;6,5;    ;    ;6,5;    ;6,2;    ;6,2
Joviânia;2005;3,7;;;3,7;;3,2;;3
Joviânia;2007;4,5;;;4,5;3,8;3,2;;3,5
Joviânia;2009;4,7;;;4,7;3,8;4;;4
Joviânia;2011;5,5;;;5,5;;4,1;;
Joviânia;2013;5,9;;;5,9;4,1;4,8;;4,5
Joviânia;2015;6,2;;;6,2;5,2;5,8;;5,6
Joviânia;2017;6,2;    ;    ;6,2;5,6;5,8;    ;5,7
Jussara;2005;3,5;3,1;;3,4;;3,2;;3,2
Jussara;2007;4,3;4,5;;4,4;4,9;3,9;;4
Jussara;2009;4,9;4,8;;4,8;4,3;3,5;;3,7
Jussara;2011;5,4;5,5;;5,4;4,5;4,9;;4,9
Jussara;2013;5,8;5,5;;5,7;;5,5;;5,5
Jussara;2015;6,2;5,3;;6,1;5,2;5,7;;5,6
Jussara;2017;6,5;6,9;    ;6,5;5,6;5,6;    ;5,6
Lagoa Santa;2005;;;;;;2,9;;
Lagoa Santa;2007;3,5;;;3,5;;3,5;;3,5
Lagoa Santa;2009;4,9;;;4,9;;;;
Lagoa Santa;2011;5,5;;;5,5;;5;;5
Lagoa Santa;2013;6,7;;;6,7;;5,6;;5,6
Lagoa Santa;2015;;;;;;5,6;;5,6
Lagoa Santa;2017;7,3;    ;    ;7,3;    ;5,7;    ;5,7
Leopoldo de Bulhões;2005;;3,3;;3,3;;3,3;;3,3
Leopoldo de Bulhões;2007;3,1;3,1;;3,1;;2,2;;2,7
Leopoldo de Bulhões;2009;;4,4;;4,5;3,1;3,6;;3,5
Leopoldo de Bulhões;2011;5,8;5,5;;5,7;;4,4;;4,1
Leopoldo de Bulhões;2013;4,9;;;4,9;;5,1;;4,9
Leopoldo de Bulhões;2015;5,2;;;5,2;;5;;5
Leopoldo de Bulhões;2017;5,2;    ;    ;5,2;    ;5,3;    ;5,2
Luziânia;2005;3,6;;;3,6;;3;;3
Luziânia;2007;4;;;4;;3,2;;3,2
Luziânia;2009;4,1;;;4,1;;3,4;;3,4
Luziânia;2011;5;;;5;;3,6;;3,6
Luziânia;2013;5,5;;;5,5;3,3;4,3;;4,3
Luziânia;2015;5,5;;;5,5;;4,7;;4,7
Luziânia;2017;5,7;    ;    ;5,7;    ;5,2;    ;5,2
Mairipotaba;2005;3,2;;;3,2;;3,4;;3,4
Mairipotaba;2007;4,2;;;4,2;;3,6;;3,6
Mairipotaba;2009;4,5;;;4,5;;3,7;;3,7
Mairipotaba;2011;5;;;5;;5;;5
Mairipotaba;2013;5,2;;;5,2;;4,8;;4,8
Mairipotaba;2015;5,8;;;5,8;;5;;5
