Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Americano do Brasil;2014;5,70666666666667;;;;4,65;8,37;7,2;5,1;4,6;4,32
Americano do Brasil;2016;5,31222222222222;3,33;3,59;2,02;4,87;10;6,58;6,1;5,8;5,52
Americano do Brasil;2018;5,96333333333333;7,14;3,1;2,15;9,81;6,75;7,98;5,7;5,8;5,24
Amorinópolis;2012;6,34333333333333;;;;8,12;8,7;7,2;5,1;4,2;4,74
Amorinópolis;2014;5,75833333333333;;;;6,05;4,84;9,27;5,3;4,2;4,89
Amorinópolis;2016;5,53777777777778;4,29;2,29;5,04;9,08;8,11;4,25;6,1;5;5,68
Amorinópolis;2018;5,67222222222222;7,14;2,22;3,44;10;8,58;2,09;6,9;5,3;5,38
Anápolis;2012;4,72833333333333;;;;2,4;6,79;6,18;4,8;3,8;4,4
Anápolis;2014;5,08833333333334;;;;2,19;6,62;7,94;5,2;4,2;4,38
Anápolis;2016;5,87777777777778;8,85;6,05;5,72;1,34;10;5,97;5,7;4,9;4,37
Anápolis;2018;6,16444444444445;8,63;6,41;5,76;5,73;8,8;4,14;6,3;5,4;4,31
Anhanguera;2012;5,128;;;;8,81;10;4,2;0;;2,63
Anhanguera;2014;3,202;;;;6,02;1,73;5,08;;0;3,18
Anhanguera;2016;5,12285714285714;10;7,19;1,58;6,24;5,13;3,13;;;2,59
Anhanguera;2018;4,59857142857143;10;6,19;1,44;6,6;2,82;4,18;;;0,96
Anicuns;2012;5,715;;;;7,41;8,61;5,49;5,3;4,1;3,38
Anicuns;2014;5,10166666666667;;;;4,85;5,51;6,41;6;4,6;3,24
Anicuns;2016;4,75777777777778;4,33;3,64;3,71;4,63;4,94;4,77;6,7;5,7;4,4
Anicuns;2018;5,32444444444444;6,13;3,68;3,62;4,98;4,33;7,03;7,4;5,9;4,85
Aparecida de Goiânia;2012;4,54;;;;2,91;5,92;6,05;4,4;3,3;4,66
Aparecida de Goiânia;2014;3,96333333333333;;;;0,38;3,89;5,69;4,9;3,4;5,52
Aparecida de Goiânia;2016;4,91777777777778;6,45;5,94;5,2;0;5,35;6,03;5,3;4,2;5,79
Aparecida de Goiânia;2018;4,59111111111111;7,03;5,96;4,6;0;4,74;3,67;5,6;4,6;5,12
Aparecida do Rio Doce;2012;3,89833333333333;;;;4,01;4,16;3,44;4,7;3,4;3,68
Aparecida do Rio Doce;2014;6,24166666666667;;;;4,43;10;10;5,1;3,6;4,32
Aparecida do Rio Doce;2016;6,77333333333333;7,78;6,79;2,37;10;10;10;5,6;5;3,42
Aparecida do Rio Doce;2018;6,00444444444444;9;5,9;1,96;10;10;3,03;5,6;4,7;3,85
Aporé;2012;6,34333333333333;;;;7,1;9,23;5,89;5,2;3,8;6,84
Aporé;2014;6,35666666666667;;;;5,16;10;7,79;5,9;4,4;4,89
Aporé;2016;5,06888888888889;3,91;4,2;2,28;7,35;8,63;4,82;5,6;4,8;4,03
Aporé;2018;5,51666666666667;3,85;4,81;2,56;8,79;8,46;4,53;7,1;5,7;3,85
Araçu;2012;5,635;;;;4,62;9,1;5,1;4,7;3,8;6,49
Araçu;2014;6,75166666666667;;;;4,34;10;10;5,2;4;6,97
Araçu;2016;6,18444444444445;4;4,75;4,32;6,69;10;8,3;5,9;5,2;6,5
Araçu;2018;7,10444444444444;10;4,94;3,22;10;10;8,96;6,9;5,3;4,62
Aragarças;2012;6,24333333333333;;;;7,87;8,52;7,13;4,5;3,8;5,64
Aragarças;2014;3,93333333333333;;;;4,84;3,87;0,65;4,7;4,5;5,04
Aragarças;2016;5,10222222222222;6,88;5,43;4,84;5,33;5,29;2,95;5,6;4,5;5,1
Aragarças;2018;5,57444444444444;7,83;5,67;4,44;6,43;4,3;6,15;6,2;4,7;4,45
Aragoiânia;2012;4,48333333333333;;;;5,44;8,28;3,3;4,4;3,9;1,58
