Localidade;Ano;IDM Saude;Cobertura ESF;Cobertura Vacinal tetravalente;Cobertura ESF Saude Bucal;Leitos SUS por 1000 hab;Medicos SUS por 1000 hab;Mortalidade Infantil;Morte por causas externas;Prenatal com 7 consultas
Novo Planalto;2018;6,33125;10;2,82;10;0;5;10;10;2,83
Orizona;2012;7,73375;9,91;10;9,92;4,4;4,2;9,01;7,25;7,18
Orizona;2014;7,93125;10;10;10;4,43;6;8,63;7,01;7,38
Orizona;2016;7,5875;10;10;10;4,37;3,93;9,19;7,89;5,32
Orizona;2018;7,8125;10;6,92;10;4,33;10;10;5,6;5,65
Ouro Verde de Goiás;2012;6,7625;10;10;10;0;2,5;6,41;8,39;6,8
Ouro Verde de Goiás;2014;6,9175;10;10;10;0;4,9;7,9;6,67;5,87
Ouro Verde de Goiás;2016;6,8175;10;8,04;10;0;2,49;10;7,41;6,6
Ouro Verde de Goiás;2018;7,3975;10;8,25;10;0;10;8,98;6,67;5,28
Ouvidor;2012;5,8025;3,73;10;5,97;10;0;7,5;3,92;5,3
Ouvidor;2014;6,4475;5,92;10;6,16;10;0;5,37;7,93;6,2
Ouvidor;2016;7,11625;5,33;10;6,11;10;3,26;7,75;8,11;6,37
Ouvidor;2018;8,93875;10;8,26;10;10;10;8,67;6,32;8,26
Padre Bernardo;2012;7,1925;10;10;10;2,83;5,7;8,66;6,19;4,16
Padre Bernardo;2014;6,9025;9,71;10;9,73;3,67;5,7;8,9;5,11;2,4
Padre Bernardo;2016;6,33875;9,46;7,67;8,34;3;3,53;9,14;7,05;2,52
Padre Bernardo;2018;7,03375;8,34;7,12;10;3;10;9,03;5,17;3,61
Palestina de Goiás;2012;6,63875;9,41;10;3,23;10;0;8,7;4,37;7,4
Palestina de Goiás;2014;6,29625;10;1,21;8,51;10;2,9;4,88;7,39;5,48
Palestina de Goiás;2016;8,43125;10;10;10;10;5,72;8,64;9,03;4,06
Palestina de Goiás;2018;9,18;9,79;7,01;9,82;10;10;10;7,06;9,76
Palmeiras de Goiás;2012;7,66;10;7,53;10;4,63;4,2;9,13;8,14;7,65
Palmeiras de Goiás;2014;7,10625;7,02;10;7,2;4,33;5,1;9,36;7,9;5,94
Palmeiras de Goiás;2016;5,4025;6,56;0;7,14;0,76;7,2;9,02;8,42;4,12
Palmeiras de Goiás;2018;6,8075;8,69;5,03;9,11;0,67;10;9,26;5,56;6,14
Palmelo;2012;7,46625;10;10;8,08;10;0;10;8,04;3,61
Palmelo;2014;9,01;10;10;10;10;8,3;10;7,65;6,13
Palmelo;2016;9,6325;10;10;10;10;10;10;10;7,06
Palmelo;2018;9,145;10;10;10;10;10;10;7,22;5,94
Palminópolis;2012;8,33125;10;10;10;10;2,8;10;6,78;7,07
Palminópolis;2014;7,5975;9,68;10;9,7;10;2,7;4,88;7,6;6,22
Palminópolis;2016;8,77375;10;10;9,7;10;8,19;7,85;8,13;6,32
Palminópolis;2018;9,1725;10;10;9,34;10;10;8,81;7,37;7,86
Panamá;2012;7,09375;9,05;7,08;10;0;3,7;10;7,86;9,06
Panamá;2014;6,2175;10;1,23;10;0;7,3;10;4,29;6,92
Panamá;2016;7,88;10;10;10;0;10;10;7,54;5,5
Panamá;2018;7,1775;10;5,39;10;0;10;10;5;7,03
Paranaiguara;2012;8,96875;10;10;10;8,73;7,6;10;8,48;6,94
Paranaiguara;2014;8,03375;9,78;10;7,5;8,33;9,4;8,17;6,81;4,28
Paranaiguara;2016;8,005;10;8,29;7,47;10;7,17;8,03;8,32;4,76
Paranaiguara;2018;8,36125;10;7,45;6,62;10;10;9,52;6,27;7,03
Paraúna;2012;7,69625;9,05;10;10;4,6;2,8;9,55;8,02;7,55
Paraúna;2014;7,6175;10;7,76;10;4,47;8,1;7,61;7,81;5,19
Paraúna;2016;8,025;10;10;10;5,95;5,36;7,85;8,01;7,03
Paraúna;2018;8,78125;10;10;10;6,33;10;9,7;5,24;8,98
Perolândia;2012;6,57125;6,8;10;7,18;0;6,7;10;5,5;6,39
Perolândia;2014;6,46;10;8,16;10;0;3,3;10;4,12;6,1
Perolândia;2016;6,12875;10;10;10;0;3,22;7,96;5,21;2,64
Perolândia;2018;7,36875;10;10;10;0;6;10;6,43;6,52
Petrolina de Goiás;2012;7,20625;9,63;10;10;5,5;1;8,33;7;6,19
Petrolina de Goiás;2014;7,45125;10;10;10;5,37;1,9;8,83;6,52;6,99
Petrolina de Goiás;2016;7,7525;8,01;10;9,52;5,37;6,64;7,42;8;7,06
Petrolina de Goiás;2018;8,73125;10;10;10;7,67;10;9,35;6,67;6,16
Pilar de Goiás;2012;5,4;6,09;10;5,31;0;0;10;6,78;5,02
Pilar de Goiás;2014;5,145;10;2,34;10;0;3,7;5,8;5;4,32
Pilar de Goiás;2016;6,80125;9;10;10;0;3,83;10;8,06;3,52
Pilar de Goiás;2018;7,76875;10;10;10;0;8;10;5,54;8,61
Piracanjuba;2012;7,1775;5,54;9,16;6,07;8,87;5,4;9,5;6,98;5,9
Piracanjuba;2014;7,85375;7;10;7,18;8,77;7,7;9,18;7,83;5,17
Piracanjuba;2016;7,3875;6,63;8,9;7,19;8,07;8,07;7,23;7,96;5,05
Piracanjuba;2018;7,7875;6,05;10;6,55;8;10;8,97;6,2;6,53
Piranhas;2012;7,4825;9,8;10;6,4;10;3,6;8,38;6,54;5,14
Piranhas;2014;7,84;10;8,01;10;10;2,7;9,08;7,46;5,47
Piranhas;2016;7,51875;10;10;10;8,36;1,79;7,93;8,25;3,82
Piranhas;2018;8,46375;10;8,74;10;9;5;9,6;6,95;8,42
Pirenópolis;2012;7,41125;9,82;9,26;6,11;8,8;3,5;9,02;7,89;4,89
Pirenópolis;2014;7,0475;8,72;8,65;5,82;8,43;5,4;8,83;6,28;4,25
Pirenópolis;2016;7,9175;9,67;9,79;5,93;10;6,95;8,67;8,49;3,84
Pirenópolis;2018;7,815;10;6,85;8;6,33;10;9,47;7,02;4,85
Pires do Rio;2012;6,11;2,41;10;4,15;7,37;2,8;8,99;7,85;5,31
Pires do Rio;2014;6,23625;5,68;9,44;5,94;5,5;2,6;7,88;8,17;4,68
Pires do Rio;2016;6,19375;5,45;10;5,92;4,45;3,26;8,37;8,4;3,7
Pires do Rio;2018;6,8625;4,27;9,78;10;4,67;7;9,24;5,58;4,36
Planaltina;2012;6,9725;10;10;10;2,87;5,2;8,79;4,78;4,14
Planaltina;2014;6,51125;10;9,87;6,69;2,77;7,4;7,86;3,37;4,13
Planaltina;2016;6,97;10;10;6,66;2,67;7,55;9,4;5,67;3,81
Planaltina;2018;6,8025;10;7,6;8,87;2,67;7;9,44;3,85;4,99
Pontalina;2012;7,4325;9,33;10;9,57;4,67;2,3;8,86;7,07;7,66
Pontalina;2014;6,835;10;9,53;6,02;4,5;2,8;9,03;7,92;4,88
Pontalina;2016;6,5575;10;6,51;6,01;4,1;2,8;9,2;7,41;6,43
Pontalina;2018;7,62375;9,51;8,84;5,22;4,33;8;9,76;6,76;8,57
Porangatu;2012;6,2775;5,93;7,34;6,42;5,47;4,5;8,44;6,22;5,9
Porangatu;2014;6,2325;3,74;9,62;4,58;5,43;5;9,46;6,89;5,14
Porangatu;2016;6,2225;4,61;6,07;4,84;4,32;6,92;8,91;7,86;6,25
Porangatu;2018;6,91125;5,97;4,94;7,24;4,33;10;9,91;6,39;6,51
Porteirão;2012;6,895;10;10;10;0;5,9;8,06;6,78;4,42
Porteirão;2014;7,235;10;10;10;0;8,4;10;4,29;5,19
Porteirão;2016;7,25625;10;10;10;0;10;8,39;6,41;3,25
Porteirão;2018;9,30375;9,08;10;9,19;10;10;10;7,62;8,54
Portelândia;2012;6,8;6,16;1,15;6,62;10;5,2;8,85;9,06;7,36
Portelândia;2014;8,29625;8,88;10;8,95;10;5;10;9,13;4,41
Portelândia;2016;7,9225;8,72;4,12;8,94;10;7,47;7,5;9,48;7,15
Portelândia;2018;8,055;8,13;4,33;8,37;10;10;10;5;8,61
Posse;2012;6,66625;10;6,57;9,69;5,23;3,8;9,03;6,62;2,39
Posse;2014;5,6825;6,15;7,21;6,28;5,13;3,9;7,75;6;3,04
Posse;2016;5,565;5,6;6,37;6,33;5;3,75;8,78;6,05;2,64
Posse;2018;6,625;8,5;5,17;6,47;5;8;9,72;5,26;4,88
Professor Jamil;2012;7,035;10;10;7,79;0;3,1;10;8,5;6,89
Professor Jamil;2014;7,365;10;10;10;0;5,9;10;8,67;4,35
Professor Jamil;2016;6,10375;10;10;1,73;0;5,92;10;6,3;4,88
Professor Jamil;2018;7,3425;10;10;10;0;9;10;3,33;6,41
Quirinópolis;2012;7,48375;10;10;10;3,2;3,9;8,67;7,47;6,63
Quirinópolis;2014;6,3475;5,83;10;6,08;3,67;5;8,79;5,18;6,23
Quirinópolis;2016;7,47375;9,74;8,75;9,68;3,59;5,49;8,7;6,53;7,31
Quirinópolis;2018;7,72;9,16;6,76;9,98;3;10;9,38;6,54;6,94
Rialma;2012;5,4875;0,48;8,65;1,01;7,6;4,7;8,07;7,08;6,31
Rialma;2014;7,29375;10;5,09;10;7,33;3,7;10;6,23;6
Rialma;2016;7,9975;10;8,77;10;7,29;5,47;9;7,72;5,73
Rialma;2018;8,6675;10;6,58;10;7,67;10;10;7,89;7,2
Rianápolis;2012;7,20125;10;7,12;10;0;8,7;10;3,94;7,85
Rianápolis;2014;6,81625;10;8,5;7,52;0;6,3;8,43;5,9;7,88
Rianápolis;2016;7,09875;9;10;6,88;0;6,27;10;7,78;6,86
Rianápolis;2018;7,79875;10;7,45;10;0;10;10;6,09;8,85
Rio Quente;2012;6,8575;8,81;10;8,95;0;5,9;10;3,86;7,34
Rio Quente;2014;7,1225;9,93;9,19;10;0;2,7;10;8,46;6,7
Rio Quente;2016;7,955;9,84;10;9,87;6,78;5,09;8,62;8,44;5
Rio Quente;2018;7,36375;8,17;10;10;0;10;9,14;5,59;6,01
Rio Verde;2012;7,75875;10;9,9;10;4,67;7,3;9,03;5,16;6,01
Rio Verde;2014;5,4375;1,17;9,76;0,85;4,43;7,7;8,53;6,43;4,63
Rio Verde;2016;5,16875;0;9,05;0,74;4,25;7,57;8,98;7,3;3,46
Rio Verde;2018;5,26;0;6,7;1,81;3,33;10;9,47;5,61;5,16
Rubiataba;2012;8,73875;9,7;10;10;10;5,3;9,19;7,08;8,64
Rubiataba;2014;7,9075;10;10;10;10;3,1;8,57;7,02;4,57
Rubiataba;2016;8,325;10;8,79;10;10;5,04;9,07;8,18;5,52
Rubiataba;2018;9,065;10;8,63;10;10;10;10;6,81;7,08
Sanclerlândia;2012;6,80125;6,79;8,87;7,17;7,5;1,3;8,41;7,55;6,82
Sanclerlândia;2014;7,5975;9,85;9,02;10;7,3;2,6;8,75;8,64;4,62
Sanclerlândia;2016;7,4675;9,46;6,66;10;7,28;2,57;10;9,45;4,32
Sanclerlândia;2018;7,665;10;7,81;10;7,33;5;9,48;4,38;7,32
Santa Bárbara de Goiás;2012;7,13875;10;10;5,45;8,6;1,7;8,97;4,92;7,47
Santa Bárbara de Goiás;2014;7,93625;10;10;10;8,17;1,6;10;6,13;7,59
Santa Bárbara de Goiás;2016;7,61625;10;10;10;7,99;3,2;6,74;6,59;6,41
Santa Bárbara de Goiás;2018;8,24625;4,11;9,77;10;7,67;10;9,46;9,29;5,67
Santa Cruz de Goiás;2012;7,40875;9,41;6,49;9,48;10;0;10;6,62;7,27
Santa Cruz de Goiás;2014;7,35625;10;6,68;10;10;3,2;6,38;5,71;6,88
Santa Cruz de Goiás;2016;8,65625;10;10;10;10;3,23;10;6,89;9,13
Santa Cruz de Goiás;2018;8,81;10;10;10;10;10;10;3,42;7,06
Santa Fé de Goiás;2012;7,2675;4,54;10;5,2;10;2,1;10;7,95;8,35
Santa Fé de Goiás;2014;7,3325;6,95;10;7,13;9,87;2;8,25;7,69;6,77
Santa Fé de Goiás;2016;7,31875;6,51;7,93;7,09;9,63;1,93;10;7,71;7,75
Santa Fé de Goiás;2018;7,16375;5,56;10;6,12;10;6;8,77;4;6,86
Santa Helena de Goiás;2012;8,83875;8,89;8,75;9,46;10;10;8,51;6,96;8,14
Santa Helena de Goiás;2014;8,42625;10;10;6,5;10;10;8,25;6,68;5,98
Santa Helena de Goiás;2016;8,53625;10;10;5,55;10;10;9,41;7,94;5,39
Santa Helena de Goiás;2018;8,29;10;7,56;6,65;10;10;9,37;6,18;6,56
Santa Isabel;2012;7,8525;10;10;10;0;5,4;10;10;7,42
Santa Isabel;2014;7,17875;9,29;10;9,33;0;5,2;10;7,65;5,96
Santa Isabel;2016;7,69625;10;10;10;0;7,82;10;8,8;4,95
Santa Isabel;2018;7,50125;10;8,36;10;0;10;10;5,69;5,96
Santa Rita do Araguaia;2012;6,52125;8,31;8,82;8,51;0;4,2;8,56;6,48;7,29
Santa Rita do Araguaia;2014;5,22875;4,51;10;4,43;0;0;8,98;6,67;7,24
Santa Rita do Araguaia;2016;5,535;9,5;6,32;4,79;0;1,26;9,13;6,59;6,69
Santa Rita do Araguaia;2018;5,8675;8,12;8,08;3,53;0;3;9,46;6,28;8,47
Santa Rita do Novo Destino;2012;4,86375;9,13;7,51;3,17;0;3,1;7,41;5,78;2,81
Santa Rita do Novo Destino;2014;3,84625;10;2,81;10;0;3;2,22;2,31;0,43
Santa Rita do Novo Destino;2016;6,57875;10;9,48;10;0;0;10;8,06;5,09
Santa Rita do Novo Destino;2018;5,92875;10;10;10;0;3;10;0;4,43
Santa Rosa de Goiás;2012;8,22375;10;4,17;7,9;10;7;10;8,87;7,85
Santa Rosa de Goiás;2014;7,75375;10;4,61;10;10;3,5;10;8,82;5,1
Santa Rosa de Goiás;2016;8,24875;10;10;10;10;7,35;6,31;6,89;5,44
Santa Rosa de Goiás;2018;8,7375;10;10;10;10;10;6,16;10;3,74
Santa Tereza de Goiás;2012;7,14375;7,36;5,26;7,68;10;0;10;9,22;7,63
Santa Tereza de Goiás;2014;6,87625;8,74;8,82;8,81;10;0;5,43;7,14;6,07
Santa Tereza de Goiás;2016;6,7675;8,66;10;10;10;2,62;0;3,33;9,53
Santa Tereza de Goiás;2018;8,57625;8,92;7,05;10;10;10;8,49;6,88;7,27
Santa Terezinha de Goiás;2012;7,62;9,88;10;6,2;10;2,9;8,67;7,35;5,96
Santa Terezinha de Goiás;2014;6,635;10;10;3,41;10;2;7,86;6,58;3,23
Santa Terezinha de Goiás;2016;6,47625;9;7,72;3,15;10;3,04;9,47;6,59;2,84
Santa Terezinha de Goiás;2018;6,5625;10;5,89;2,7;10;4;9,25;6,07;4,59
Santo Antônio da Barra;2012;6,40125;10;10;10;0;2,2;8,68;6,03;4,3
Santo Antônio da Barra;2014;5,92125;9,8;10;7,08;0;2,2;7,72;6,19;4,38
Santo Antônio da Barra;2016;6,55375;10;10;7,7;0;6,36;5,57;8,27;4,53
Santo Antônio da Barra;2018;7,58375;10;10;6,91;0;10;10;6,15;7,61
Santo Antônio de Goiás;2012;7,12375;8,93;10;4,53;10;2,1;7,64;7,5;6,29
Santo Antônio de Goiás;2014;7,21375;6,88;10;7,06;10;1,9;8,85;6,57;6,45
Santo Antônio de Goiás;2016;8,18;9;9,69;6,4;10;7,24;10;7,32;5,79
Santo Antônio de Goiás;2018;8,80875;10;9,13;5,59;10;10;10;9,36;6,39
Santo Antônio do Descoberto;2012;6,795;10;10;10;4,37;3,4;8,22;4,26;4,11
Santo Antônio do Descoberto;2014;5,9025;9,12;10;5,66;3,83;4,1;8,26;4,1;2,15
Santo Antônio do Descoberto;2016;5,63875;8,73;7,16;5,35;1,29;4;9,05;6,56;2,97
Santo Antônio do Descoberto;2018;5,4;8,38;7,56;4,74;0,67;5;9,3;3,66;3,89
São Domingos;2012;6,855;9,72;10;5,05;6,43;3,5;10;5,6;4,54
São Domingos;2014;6,1275;8,97;10;3,01;6,1;2,5;10;3,33;5,11
São Domingos;2016;5,76875;8,48;6,21;2,99;5,96;2,44;10;7,56;2,51
São Domingos;2018;6,70375;10;10;4,96;5,67;7;8,79;3,27;3,94
São Francisco de Goiás;2012;5,395;9,46;8,58;3,2;0;1,6;8,73;6,48;5,11
São Francisco de Goiás;2014;6,5725;10;10;10;0;1,6;10;5,88;5,1
São Francisco de Goiás;2016;6,4975;10;8,22;10;0;3,15;8,66;7,28;4,67
São Francisco de Goiás;2018;7,09625;10;10;10;0;8;8,7;5,31;4,76
São João d'Aliança;2012;6,57;6,8;10;3,59;8,23;4,7;8,02;6,45;4,77
São João d'Aliança;2014;7,5525;9,44;10;9,44;7,57;4,4;7,44;7;5,13
São João d'Aliança;2016;7,51625;10;10;9,59;7,18;3,31;8,6;7,7;3,75
São João d'Aliança;2018;7,36125;10;10;8,16;7;7;7,92;3,63;5,18
São João da Paraúna;2012;7,8125;10;10;10;0;6;10;7,75;8,75
São João da Paraúna;2014;6,90625;10;5,68;10;0;6,1;10;4,55;8,92
São João da Paraúna;2016;7,7475;10;10;10;0;6,26;10;7,93;7,79
São João da Paraúna;2018;7,75875;10;10;10;0;6;10;7,5;8,57
São Luis de Montes Belos;2012;8,03375;10;8,1;10;7,13;5,6;8,95;7,9;6,59
São Luis de Montes Belos;2014;7,875;9,01;9,54;9,06;6,7;6;9,44;7,93;5,32
São Luis de Montes Belos;2016;6,905;8,83;5,21;9,02;5,13;5,23;8,73;8,19;4,9
São Luis de Montes Belos;2018;8,03625;7,94;8,82;9,24;5;10;9,44;7,95;5,9
São Luiz do Norte;2012;6,45875;7,97;10;8,22;0;2,1;10;8,27;5,11
São Luiz do Norte;2014;7,92625;10;10;10;6,83;2;10;8,12;6,46
São Luiz do Norte;2016;6,9475;10;8,65;10;6,69;2,01;7,99;7,12;3,12
São Luiz do Norte;2018;8,13;10;7,59;10;6,67;8;10;6,21;6,57
São Miguel do Araguaia;2012;8,56875;10;10;10;10;6,3;9,58;7,28;5,39
São Miguel do Araguaia;2014;7,30625;7,62;10;7,76;10;5,7;8,64;5,29;3,44
São Miguel do Araguaia;2016;6,935;9,78;7,05;7,51;10;3,96;7,82;6,91;2,45
São Miguel do Araguaia;2018;8,35875;10;10;8,78;8,67;10;9,84;5,6;3,98
São Miguel do Passa Quatro;2012;7,565;6,73;10;7,13;10;2,6;10;8,27;5,79
São Miguel do Passa Quatro;2014;6,31;8,24;10;8,35;10;5,1;3,23;5,56;0
São Miguel do Passa Quatro;2016;8,0425;10;10;9,08;8,36;7,52;10;8,36;1,02
São Miguel do Passa Quatro;2018;8,415;10;7,44;8,41;8,33;10;10;6,95;6,19
São Patrício;2012;8,04375;8,96;10;9,09;0;10;10;10;6,3
São Patrício;2014;7,34625;10;10;10;0;4,9;10;8,18;5,69
São Patrício;2016;7,33;10;10;10;0;4,85;10;8,7;5,09
São Patrício;2018;7,2225;10;9,47;10;0;5;10;7,22;6,09
São Simão;2012;8,605;10;10;10;7,87;7,5;8,94;6,95;7,58
São Simão;2014;7,0925;9,5;8,86;1,97;9,9;7;9,55;8,1;1,86
São Simão;2016;6,875;9,55;9,57;2,28;8,72;6,8;8,83;7,31;1,94
São Simão;2018;8,2975;8,56;6,76;10;8,67;10;9,1;6,93;6,36
Senador Canedo;2012;6,6825;10;10;2,18;3;6,6;8,88;6,25;6,55
Senador Canedo;2014;7,57875;10;10;10;2,77;8,5;8,33;5,24;5,79
Senador Canedo;2016;7,21875;7,89;8,14;8,87;2,62;8,47;9,23;6,93;5,6
Senador Canedo;2018;7,45125;10;6,82;10;2,67;10;9,47;4,98;5,67
Serranópolis;2012;7,6375;9,92;10;10;8,83;2,6;10;4,6;5,15
Serranópolis;2014;7,12875;9,02;10;4,54;8,37;2,5;8,69;7,14;6,77
Serranópolis;2016;7,02;8,84;10;4,52;8,59;3,68;7,39;5,79;7,35
Serranópolis;2018;8,055;7,9;10;7,55;8,33;9;9,39;5;7,27
Silvânia;2012;7,61875;9,8;6,2;9,83;6,93;5,7;9,46;8,11;4,92
Silvânia;2014;7,51;10;8,08;10;6,67;5;8,29;7,94;4,1
Silvânia;2016;7,33125;10;7,25;10;6,59;4,45;8,74;7,67;3,95
Silvânia;2018;8,23875;10;6,58;10;7;10;8,94;7,44;5,95
Simolândia;2012;6,615;10;10;10;8,17;0;8,06;3,44;3,25
Simolândia;2014;6,575;10;7,58;5,27;7,87;4,4;10;3,88;3,6
Simolândia;2016;6,64625;10;6,08;5,26;7,8;1,46;10;7,13;5,44
Simolândia;2018;6,94375;10;8,73;4,38;7,67;7;8,61;2,42;6,74
Sítio d'Abadia;2012;5,975;9,55;4,4;5,05;0;3,5;10;10;5,3
Sítio d'Abadia;2014;7,6475;10;10;10;0;6,8;10;10;4,38
Sítio d'Abadia;2016;7,18375;10;9,39;10;0;3,37;10;7,78;6,93
Sítio d'Abadia;2018;7,7975;10;10;10;0;10;10;5,59;6,79
Taquaral de Goiás;2012;7,3825;9,56;10;2,8;10;5,7;8,21;9,06;3,73
Taquaral de Goiás;2014;8,68625;9,74;8,89;9,76;10;5,5;10;7;8,6
Taquaral de Goiás;2016;7,5175;9,71;5,07;9,76;10;2,76;10;8,01;4,83
Taquaral de Goiás;2018;8,97625;9,38;10;10;10;10;10;6;6,43
Teresina de Goiás;2012;6,56625;9,82;10;9,73;0;6,6;8,25;5,26;2,87
Teresina de Goiás;2014;6,88125;10;9,46;10;0;9,3;4,32;10;1,97
Teresina de Goiás;2016;7,02;10;8,48;10;0;9,12;10;7,93;0,63
Teresina de Goiás;2018;7,16875;10;10;10;0;10;10;2,86;4,49
Terezópolis de Goiás;2012;6,47375;10;10;10;0;3;8;6,25;4,54
Terezópolis de Goiás;2014;5,70625;10;10;5,13;0;1,4;8,11;5,9;5,11
Terezópolis de Goiás;2016;6,4225;10;10;5,08;0;4,06;9,22;8,52;4,5
Terezópolis de Goiás;2018;6,2925;8,94;10;3,89;0;10;8,46;4,39;4,66
Três Ranchos;2012;6,34625;7,85;10;8,11;0;3,5;7,31;5,78;8,22
Três Ranchos;2014;7,11125;9,11;7,51;10;0;3,5;10;10;6,77
Três Ranchos;2016;7,3975;10;10;10;0;3,45;10;8,27;7,46
Três Ranchos;2018;7,9525;10;7,92;10;0;10;10;8,91;6,79
Trindade;2012;8,25625;10;9,48;10;10;3,5;9,02;7,93;6,12
Trindade;2014;7,08625;9,53;10;2,58;10;4,8;8,52;6,01;5,25
Trindade;2016;7,42;9,5;10;2,88;10;5,79;9,07;7,36;4,76
Trindade;2018;7,72875;9,03;7,06;5,28;10;10;9,74;5,71;5,01
Trombas;2012;8,31;10;10;10;10;0;10;10;6,48
Trombas;2014;8,5125;10;10;9,99;10;2,8;10;8;7,31
Trombas;2016;8,0925;10;10;9,15;10;5,61;7,79;5,56;6,63
Trombas;2018;8,6825;10;10;10;10;10;10;2,86;6,6
Turvânia;2012;8,15;10;10;7,42;8,3;4,2;7,59;9,22;8,47
Turvânia;2014;8,285;10;10;10;8,17;6,1;8,22;5,76;8,03
Turvânia;2016;8,8975;10;9,05;10;10;6,18;10;8,89;7,06
Turvânia;2018;8,2625;10;5,09;10;10;10;8,15;6,43;6,43
Turvelândia;2012;8,42125;10;10;10;10;2,2;7,97;10;7,2
Turvelândia;2014;6,00875;7,52;8,75;7,67;9,83;0;10;0;4,3
Turvelândia;2016;7,14125;7,13;9,59;7,61;9,52;0;10;8,27;5,01
Turvelândia;2018;8,335;6,02;9,3;10;9,33;10;9,33;8,61;4,09
Uirapuru;2012;6,205;7,16;10;9,03;0;3,4;10;3,25;6,8
Uirapuru;2014;5,62875;10;10;10;0;0;4,47;6;4,56
Uirapuru;2016;7,37;10;10;10;0;3,36;10;7,97;7,63
Uirapuru;2018;6,85125;10;7,87;10;0;3;10;8,61;5,33
Uruaçu;2012;7,1125;6,52;10;1,34;7,07;8,1;9;6,99;7,88
Uruaçu;2014;8,05125;9,94;7,84;10;6,77;5,9;8,81;7,37;7,78
Uruaçu;2016;8,035;10;7,03;10;4,81;8,36;8,73;7,12;8,23
Uruaçu;2018;7,9;9,4;6,53;9,48;3,67;10;9,66;6,39;8,07
Uruana;2012;7,3225;9,18;10;9,28;4,83;2,9;8,41;6,75;7,23
Uruana;2014;7,45375;10;10;7,49;4,7;4,9;8,56;7,45;6,53
Uruana;2016;6,955;10;6,54;7,49;4,7;4,93;8,51;7,93;5,54
Uruana;2018;8,3175;10;10;9,33;4,67;10;9,68;6,81;6,05
Urutaí;2012;5,56625;10;10;5,45;0;3,3;7,74;1,43;6,61
Urutaí;2014;5,6125;2,03;10;2,81;0;3,2;10;8,82;8,04
Urutaí;2016;6,6325;10;7,02;10;0;3,17;10;7,08;5,79
Urutaí;2018;6,67125;5,54;10;6,11;0;10;7,62;6,55;7,55
Valparaíso de Goiás;2012;6,30625;9,58;10;5,09;0,03;6,8;9,25;2,86;6,84
Valparaíso de Goiás;2014;5,41;6,52;10;1,53;0,67;5,9;8,92;5,12;4,62
Valparaíso de Goiás;2016;5,525;5,78;9,62;1,82;0,65;6,59;8,59;6,46;4,69
Valparaíso de Goiás;2018;5,49125;4,47;7,76;3,07;0,67;9;9,45;4,67;4,84
Varjão;2012;6,96625;10;10;10;0;2,7;10;5,18;7,85
Varjão;2014;6,625;7,69;10;7,82;0;2,6;10;8,82;6,07
Varjão;2016;6,53;9,25;9,7;9,37;0;0;10;9,4;4,52
Varjão;2018;6,31625;8,68;6,51;8,85;0;8;7,56;4,79;6,14
Vianópolis;2012;7,3575;10;8,4;10;7,63;2,4;7,86;8,18;4,39
Vianópolis;2014;6,7825;10;10;9,74;7,3;2,3;8,08;6,61;0,23
Vianópolis;2016;7,22375;10;10;10;7,18;3,72;9,59;7,3;0
Vianópolis;2018;8,475;10;9,08;10;7,67;7;9,75;7,86;6,44
Vicentinópolis;2012;8,47875;10;10;10;10;4;8,8;6,12;8,91
Vicentinópolis;2014;7,54875;9,8;10;10;10;0;7,08;6,86;6,65
Vicentinópolis;2016;7,765;10;10;10;6,53;2,45;8,52;8,83;5,79
Vicentinópolis;2018;7,8875;10;7,23;10;6,33;7;10;4,44;8,1
Vila Boa;2012;8,01;10;10;10;8,93;6,2;10;5,5;3,45
Vila Boa;2014;7,5025;9,73;10;10;8,27;5,7;8,6;4,78;2,94
Vila Boa;2016;7,945;10;10;10;7,89;3,64;7,79;9,22;5,02
Vila Boa;2018;7,27375;10;9,81;10;7,67;5;6,72;5,31;3,68
Vila Propício;2012;4,20375;1,63;10;2,4;0;0;8,87;5,91;4,82
Vila Propício;2014;5,77125;8,8;10;10;0;0;10;5;2,37
Vila Propício;2016;5,75;10;2,13;10;0;7,17;8,86;5,85;1,99
Vila Propício;2018;7,24125;10;10;10;0;10;7,73;6,43;3,77
