Localidade;Ano;IDM Segurança;Crimes contra a dignidade sexual;Crimes contra a pessoa;Crimes contra o patrimonio;Contravenções penais;Tráfico de drogas
Mara Rosa;2012;8,338;9,42;8,43;7,09;6,75;10
Mara Rosa;2014;8,536;8,33;8,09;8,61;8,9;8,75
Mara Rosa;2016;7,374;8,25;5,93;8,09;7,1;7,5
Mara Rosa;2018;7,364;7,62;6,25;7,26;6,56;9,13
Marzagão;2012;7,568;10;6,34;8,02;6,07;7,41
Marzagão;2014;8,102;10;5,96;8,2;9,48;6,87
Marzagão;2016;8,6;10;7,42;8,09;7,49;10
Marzagão;2018;6,8;1,21;7,06;8,85;9,56;7,32
Matrinchã;2012;7,814;3,04;7,75;8,86;9,42;10
Matrinchã;2014;8,462;6,03;8,25;8,28;9,75;10
Matrinchã;2016;8,878;7,97;8,35;8,68;9,39;10
Matrinchã;2018;8,102;7,83;7,53;9,09;7,38;8,68
Maurilândia;2012;7,108;5,2;6,53;6,95;7,79;9,07
Maurilândia;2014;7,732;7,8;5,35;7,07;8,44;10
Maurilândia;2016;8,838;9,29;7,91;8,36;9,04;9,59
Maurilândia;2018;7,63;8,53;6,95;7,77;6,24;8,66
Mimoso de Goiás;2012;8,784;5,42;9,32;9,56;9,62;10
Mimoso de Goiás;2014;8,594;6,72;7,84;9,02;9,39;10
Mimoso de Goiás;2016;9,538;10;8,7;8,99;10;10
Mimoso de Goiás;2018;8,728;6,39;9,02;8,59;9,64;10
Minaçu;2012;8,166;8,03;7,03;6,77;9;10
Minaçu;2014;7,378;6,03;5,67;5,87;9,32;10
Minaçu;2016;7,032;7,06;4,81;7,1;8,54;7,65
Minaçu;2018;7,872;9,05;6,75;6,47;7,96;9,13
Mineiros;2012;7,294;7,33;5,71;6,93;6,5;10
Mineiros;2014;8,22;8,25;7,22;6,93;8,7;10
Mineiros;2016;6,254;6,96;5,63;6,2;7,09;5,39
Mineiros;2018;6,38;8,12;6,36;4,69;6,26;6,47
Moiporá;2012;9,86;10;9,7;9,6;10;10
Moiporá;2014;9,966;10;10;9,83;10;10
Moiporá;2016;9,584;10;9,38;9,34;9,2;10
Moiporá;2018;8,252;7,08;7,54;8,99;7,65;10
Monte Alegre de Goiás;2012;9,3;10;8,34;9,64;9,21;9,31
Monte Alegre de Goiás;2014;8,998;6,66;8,87;9,74;9,72;10
Monte Alegre de Goiás;2016;7,638;4,48;6,8;8,7;8,84;9,37
Monte Alegre de Goiás;2018;7,798;6,53;7,57;8,74;8,26;7,89
Montes Claros de Goiás;2012;9,966;10;9,9;9,93;10;10
Montes Claros de Goiás;2014;9,13;8,91;8,07;8,94;9,73;10
Montes Claros de Goiás;2016;7,624;8,89;4,83;7,55;7,49;9,36
Montes Claros de Goiás;2018;5,494;7,04;4,42;6,62;0,47;8,92
Montividiu;2012;8,276;8,84;7,28;7,84;8,94;8,48
Montividiu;2014;6,95;9,21;4,79;7,36;9,35;4,04
Montividiu;2016;7,836;6,96;6,05;7,89;8,28;10
Montividiu;2018;7,266;5,31;6,32;8;7,41;9,29
Montividiu do Norte;2012;9,684;8,51;9,94;9,97;10;10
Montividiu do Norte;2014;9,986;10;10;9,93;10;10
Montividiu do Norte;2016;9,258;7,91;9,6;9,41;9,37;10
Montividiu do Norte;2018;8,014;4,5;8,26;9,08;8,23;10
Morrinhos;2012;6,98;7,33;7,86;7,42;6,43;5,86
Morrinhos;2014;7,112;7,3;7;6,99;9,25;5,02
Morrinhos;2016;5,884;6,09;5,43;6,65;7,71;3,54
Morrinhos;2018;6,41;7,63;6,45;6,29;7,92;3,76
Morro Agudo de Goiás;2012;9,134;7,39;9,44;9,7;9,14;10
Morro Agudo de Goiás;2014;9,664;10;9,51;9,75;9,06;10
Morro Agudo de Goiás;2016;8,544;10;8,21;9,73;4,78;10
Morro Agudo de Goiás;2018;7,334;1,71;7,64;9,4;7,92;10
Mossâmedes;2012;9,586;10;9,48;9,06;9,39;10
Mossâmedes;2014;7,63;4,64;7,32;7,98;9,55;8,66
Mossâmedes;2016;8,254;8,11;8,17;7,84;7,15;10
Mossâmedes;2018;6,818;4,83;5,8;7,42;7,3;8,74
Mozarlândia;2012;8,132;8,17;7,09;8,69;7,91;8,8
Mozarlândia;2014;8,224;9,36;6,81;7,86;9;8,09
Mozarlândia;2016;7,564;8,75;5,83;7,84;8,6;6,8
Mozarlândia;2018;6,634;8,38;6,16;6,67;5,12;6,84
Mundo Novo;2012;9,936;10;9,84;10;9,84;10
Mundo Novo;2014;9,886;10;9,81;9,62;10;10
Mundo Novo;2016;8,056;3,85;7,5;9,16;9,77;10
Mundo Novo;2018;7,66;7,43;6,78;8,22;6,39;9,48
Mutunópolis;2012;9,918;10;9,8;9,79;10;10
Mutunópolis;2014;9,922;10;9,9;9,85;9,86;10
Mutunópolis;2016;7,314;7,66;4,66;8,11;6,14;10
Mutunópolis;2018;7,628;8,75;5,61;8,3;5,48;10
Nazário;2012;8,414;8,44;8,87;8,12;6,64;10
Nazário;2014;8,47;10;7,42;6,83;8,1;10
Nazário;2016;6,924;6,81;6,34;6,91;7,6;6,96
Nazário;2018;7,484;7,78;6,6;6,82;6,89;9,33
Nerópolis;2012;7,214;6,7;6,49;7,74;8,02;7,12
Nerópolis;2014;7,066;5,12;6,1;7,15;9,32;7,64
Nerópolis;2016;7,32;7,31;6,94;7,43;8,38;6,54
Nerópolis;2018;7,078;7,39;6,53;6,41;7,07;7,99
Niquelândia;2012;7,388;7,39;8,07;6,22;7,67;7,59
Niquelândia;2014;8,394;8,98;8,33;6,06;9,52;9,08
Niquelândia;2016;7,788;7,97;7,32;6,99;9,09;7,57
Niquelândia;2018;7,788;7,65;7,74;6,84;7,75;8,96
Nova América;2012;8,8;10;9,31;8,86;8,2;7,63
Nova América;2014;9,076;10;7,46;9,36;8,56;10
Nova América;2016;7,286;2,23;7,74;9,38;7,08;10
Nova América;2018;8,286;7,94;7,76;8,63;7,1;10
Nova Aurora;2012;9,342;10;8,1;9,6;9,01;10
Nova Aurora;2014;7,392;5,8;6,49;8,61;9,21;6,85
Nova Aurora;2016;6,914;1,59;5,77;9,11;8,1;10
Nova Aurora;2018;7,566;7,78;7,47;8,84;6,44;7,3
